Gender,Competition,Round,Country,Apparatus,Score,FullName
m,2022 Cottbus World Cup,qual,NOR,HB,12.166,Fredrik Aas
m,2022 Cottbus World Cup,qual,NOR,PB,10.8,Fredrik Aas
m,2022 Cottbus World Cup,qual,NOR,PH,10.866,Fredrik Aas
m,2023 Cottbus World Cup,qual,NOR,HB,11.3,Fredrik Aas
m,2023 Cottbus World Cup,qual,NOR,PH,12.2,Fredrik Aas
m,2023 FISU World University Games,qual,NOR,FX,12.566,Fredrik Aas
m,2023 FISU World University Games,qual,NOR,HB,12.766,Fredrik Aas
m,2023 FISU World University Games,qual,NOR,PB,12.466,Fredrik Aas
m,2023 FISU World University Games,qual,NOR,PH,11.666,Fredrik Aas
m,2023 FISU World University Games,qual,NOR,SR,11.866,Fredrik Aas
m,2023 FISU World University Games,qual,NOR,VT,12.966,Fredrik Aas
m,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,ESP,FX,13.8,Nestor Abad
m,2022 51st FIG Artistic Gymnastics World Championships,qual,ESP,FX,13.4,Nestor Abad
m,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,ESP,HB,13.433,Nestor Abad
m,2022 51st FIG Artistic Gymnastics World Championships,qual,ESP,HB,13.166,Nestor Abad
m,2022 51st FIG Artistic Gymnastics World Championships,TeamFinal,ESP,HB,13.133,Nestor Abad
m,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,ESP,PB,14.2,Nestor Abad
m,2022 51st FIG Artistic Gymnastics World Championships,qual,ESP,PB,14.3,Nestor Abad
m,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,ESP,PH,11.266,Nestor Abad
m,2022 51st FIG Artistic Gymnastics World Championships,qual,ESP,PH,12.766,Nestor Abad
m,2022 51st FIG Artistic Gymnastics World Championships,TeamFinal,ESP,PH,11.633,Nestor Abad
m,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,ESP,SR,13.233,Nestor Abad
m,2022 51st FIG Artistic Gymnastics World Championships,qual,ESP,SR,12.566,Nestor Abad
m,2022 51st FIG Artistic Gymnastics World Championships,TeamFinal,ESP,SR,13.8,Nestor Abad
m,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,ESP,VT,13.733,Nestor Abad
m,2022 51st FIG Artistic Gymnastics World Championships,qual,ESP,VT,13.5,Nestor Abad
m,2022 Senior European Championships,qual,ESP,FX,12.433,Nestor Abad
m,2022 Senior European Championships,qual,ESP,HB,13.8,Nestor Abad
m,2022 Senior European Championships,TeamFinal,ESP,HB,13.4,Nestor Abad
m,2022 Senior European Championships,qual,ESP,PB,14.4,Nestor Abad
m,2022 Senior European Championships,TeamFinal,ESP,PB,14.066,Nestor Abad
m,2022 Senior European Championships,qual,ESP,PH,10.5,Nestor Abad
m,2022 Senior European Championships,qual,ESP,SR,13.666,Nestor Abad
m,2022 Senior European Championships,TeamFinal,ESP,SR,13.633,Nestor Abad
m,2022 Senior European Championships,qual,ESP,VT,14.1,Nestor Abad
m,2023 52nd FIG Artistic Gymnastics World Championships,qual,ESP,FX,14.166,Nestor Abad
m,2023 52nd FIG Artistic Gymnastics World Championships,qual,ESP,HB,13.033,Nestor Abad
m,2023 52nd FIG Artistic Gymnastics World Championships,qual,ESP,PB,13.8,Nestor Abad
m,2023 52nd FIG Artistic Gymnastics World Championships,qual,ESP,PH,13.1,Nestor Abad
m,2023 52nd FIG Artistic Gymnastics World Championships,qual,ESP,SR,13.6,Nestor Abad
m,2023 52nd FIG Artistic Gymnastics World Championships,qual,ESP,VT,13.2,Nestor Abad
m,2023 Senior European Championships,AAfinal,ESP,FX,12.633,Nestor Abad
m,2023 Senior European Championships,qual,ESP,FX,12.5,Nestor Abad
m,2023 Senior European Championships,AAfinal,ESP,HB,13.4,Nestor Abad
m,2023 Senior European Championships,final,ESP,HB,13.666,Nestor Abad
m,2023 Senior European Championships,qual,ESP,HB,13.733,Nestor Abad
m,2023 Senior European Championships,AAfinal,ESP,PB,13.833,Nestor Abad
m,2023 Senior European Championships,qual,ESP,PB,13.9,Nestor Abad
m,2023 Senior European Championships,AAfinal,ESP,PH,13.0,Nestor Abad
m,2023 Senior European Championships,qual,ESP,PH,13.233,Nestor Abad
m,2023 Senior European Championships,qual,ESP,SR,13.766,Nestor Abad
m,2023 Senior European Championships,AAfinal,ESP,SR,13.666,Nestor Abad
m,2023 Senior European Championships,AAfinal,ESP,VT,13.0,Nestor Abad
m,2023 Senior European Championships,qual,ESP,VT,13.7,Nestor Abad
m,2023 Tel Aviv World Challenge Cup,final,ESP,HB,13.8,Nestor Abad
m,2023 Tel Aviv World Challenge Cup,qual,ESP,HB,13.65,Nestor Abad
m,2023 Tel Aviv World Challenge Cup,qual,ESP,PH,12.0,Nestor Abad
m,2023 Tel Aviv World Challenge Cup,qual,ESP,SR,14.05,Nestor Abad
m,2023 Tel Aviv World Challenge Cup,final,ESP,SR,14.0,Nestor Abad
m,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,ITA,FX,13.566,Yumin Abbadini
m,2022 51st FIG Artistic Gymnastics World Championships,qual,ITA,FX,13.666,Yumin Abbadini
m,2022 51st FIG Artistic Gymnastics World Championships,TeamFinal,ITA,FX,13.733,Yumin Abbadini
m,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,ITA,HB,9.9,Yumin Abbadini
m,2022 51st FIG Artistic Gymnastics World Championships,qual,ITA,HB,13.6,Yumin Abbadini
m,2022 51st FIG Artistic Gymnastics World Championships,TeamFinal,ITA,HB,13.633,Yumin Abbadini
m,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,ITA,PB,13.066,Yumin Abbadini
m,2022 51st FIG Artistic Gymnastics World Championships,qual,ITA,PB,13.7,Yumin Abbadini
m,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,ITA,PH,13.666,Yumin Abbadini
m,2022 51st FIG Artistic Gymnastics World Championships,qual,ITA,PH,13.966,Yumin Abbadini
m,2022 51st FIG Artistic Gymnastics World Championships,TeamFinal,ITA,PH,12.3,Yumin Abbadini
m,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,ITA,SR,13.166,Yumin Abbadini
m,2022 51st FIG Artistic Gymnastics World Championships,qual,ITA,SR,13.0,Yumin Abbadini
m,2022 51st FIG Artistic Gymnastics World Championships,TeamFinal,ITA,SR,13.033,Yumin Abbadini
m,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,ITA,VT,13.866,Yumin Abbadini
m,2022 51st FIG Artistic Gymnastics World Championships,qual,ITA,VT,13.6,Yumin Abbadini
m,2022 Senior European Championships,qual,ITA,FX,13.833,Yumin Abbadini
m,2022 Senior European Championships,qual,ITA,HB,13.8,Yumin Abbadini
m,2022 Senior European Championships,TeamFinal,ITA,HB,13.766,Yumin Abbadini
m,2022 Senior European Championships,qual,ITA,PB,12.033,Yumin Abbadini
m,2022 Senior European Championships,qual,ITA,PH,12.533,Yumin Abbadini
m,2022 Senior European Championships,TeamFinal,ITA,PH,13.833,Yumin Abbadini
m,2022 Senior European Championships,TeamFinal,ITA,SR,13.366,Yumin Abbadini
m,2023 52nd FIG Artistic Gymnastics World Championships,AAfinal,ITA,FX,13.866,Yumin Abbadini
m,2023 52nd FIG Artistic Gymnastics World Championships,qual,ITA,FX,13.533,Yumin Abbadini
m,2023 52nd FIG Artistic Gymnastics World Championships,TeamFinal,ITA,FX,13.9,Yumin Abbadini
m,2023 52nd FIG Artistic Gymnastics World Championships,AAfinal,ITA,HB,14.033,Yumin Abbadini
m,2023 52nd FIG Artistic Gymnastics World Championships,qual,ITA,HB,14.033,Yumin Abbadini
m,2023 52nd FIG Artistic Gymnastics World Championships,TeamFinal,ITA,HB,14.033,Yumin Abbadini
m,2023 52nd FIG Artistic Gymnastics World Championships,AAfinal,ITA,PB,13.933,Yumin Abbadini
m,2023 52nd FIG Artistic Gymnastics World Championships,qual,ITA,PB,14.0,Yumin Abbadini
m,2023 52nd FIG Artistic Gymnastics World Championships,AAfinal,ITA,PH,13.8,Yumin Abbadini
m,2023 52nd FIG Artistic Gymnastics World Championships,qual,ITA,PH,13.5,Yumin Abbadini
m,2023 52nd FIG Artistic Gymnastics World Championships,TeamFinal,ITA,PH,12.733,Yumin Abbadini
m,2023 52nd FIG Artistic Gymnastics World Championships,AAfinal,ITA,SR,13.3,Yumin Abbadini
m,2023 52nd FIG Artistic Gymnastics World Championships,qual,ITA,SR,13.5,Yumin Abbadini
m,2023 52nd FIG Artistic Gymnastics World Championships,TeamFinal,ITA,SR,13.266,Yumin Abbadini
m,2023 52nd FIG Artistic Gymnastics World Championships,AAfinal,ITA,VT,13.9,Yumin Abbadini
m,2023 52nd FIG Artistic Gymnastics World Championships,qual,ITA,VT,13.966,Yumin Abbadini
m,2023 Baku World Cup,qual,ITA,FX,13.533,Yumin Abbadini
m,2023 Baku World Cup,qual,ITA,HB,13.533,Yumin Abbadini
m,2023 Baku World Cup,qual,ITA,PH,13.433,Yumin Abbadini
m,2023 Senior European Championships,AAfinal,ITA,FX,13.766,Yumin Abbadini
m,2023 Senior European Championships,qual,ITA,FX,13.966,Yumin Abbadini
m,2023 Senior European Championships,AAfinal,ITA,HB,13.466,Yumin Abbadini
m,2023 Senior European Championships,qual,ITA,HB,12.133,Yumin Abbadini
m,2023 Senior European Championships,AAfinal,ITA,PB,14.0,Yumin Abbadini
m,2023 Senior European Championships,qual,ITA,PB,13.5,Yumin Abbadini
m,2023 Senior European Championships,AAfinal,ITA,PH,14.1,Yumin Abbadini
m,2023 Senior European Championships,final,ITA,PH,14.166,Yumin Abbadini
m,2023 Senior European Championships,qual,ITA,PH,14.266,Yumin Abbadini
m,2023 Senior European Championships,qual,ITA,SR,13.5,Yumin Abbadini
m,2023 Senior European Championships,AAfinal,ITA,SR,13.266,Yumin Abbadini
m,2023 Senior European Championships,AAfinal,ITA,VT,13.566,Yumin Abbadini
m,2023 Senior European Championships,qual,ITA,VT,13.733,Yumin Abbadini
m,2022 51st FIG Artistic Gymnastics World Championships,qual,EGY,FX,12.0,Abdelrahman Abdelhaleem
m,2022 51st FIG Artistic Gymnastics World Championships,qual,EGY,HB,12.766,Abdelrahman Abdelhaleem
m,2022 51st FIG Artistic Gymnastics World Championships,qual,EGY,PB,12.4,Abdelrahman Abdelhaleem
m,2022 51st FIG Artistic Gymnastics World Championships,qual,EGY,PH,12.766,Abdelrahman Abdelhaleem
m,2022 Cairo World Cup,qual,EGY,HB,12.0,Abdelrahman Abdelhaleem
m,2022 Cairo World Cup,qual,EGY,PH,12.166,Abdelrahman Abdelhaleem
m,2022 Paris World Challenge Cup,qual,EGY,HB,12.6,Abdelrahman Abdelhaleem
m,2022 Paris World Challenge Cup,qual,EGY,PH,12.7,Abdelrahman Abdelhaleem
m,2023 Baku World Cup,qual,EGY,PH,13.066,Abdelrahman Abdelhaleem
m,2023 Cairo World Cup,qual,EGY,PH,14.1,Abdelrahman Abdelhaleem
m,2022 51st FIG Artistic Gymnastics World Championships,qual,EGY,FX,11.933,Ahmed Abdelrahman
m,2022 51st FIG Artistic Gymnastics World Championships,qual,EGY,HB,12.966,Ahmed Abdelrahman
m,2022 51st FIG Artistic Gymnastics World Championships,qual,EGY,PB,13.0,Ahmed Abdelrahman
m,2022 51st FIG Artistic Gymnastics World Championships,qual,EGY,PH,13.166,Ahmed Abdelrahman
m,2022 51st FIG Artistic Gymnastics World Championships,qual,EGY,VT,13.966,Ahmed Abdelrahman
m,2022 Cairo World Cup,qual,EGY,FX,13.266,Ahmed Abdelrahman
m,2022 Paris World Challenge Cup,qual,EGY,PH,12.95,Ahmed Abdelrahman
m,2022 Paris World Challenge Cup,qual,EGY,VT,13.75,Ahmed Abdelrahman
m,2023 52nd FIG Artistic Gymnastics World Championships,qual,EGY,FX,12.566,Ahmed Abdelrahman
m,2023 52nd FIG Artistic Gymnastics World Championships,qual,EGY,HB,12.8,Ahmed Abdelrahman
m,2023 52nd FIG Artistic Gymnastics World Championships,qual,EGY,PB,11.766,Ahmed Abdelrahman
m,2023 52nd FIG Artistic Gymnastics World Championships,qual,EGY,PH,12.266,Ahmed Abdelrahman
m,2023 52nd FIG Artistic Gymnastics World Championships,qual,EGY,VT,14.133,Ahmed Abdelrahman
m,2023 Baku World Cup,qual,EGY,FX,12.066,Ahmed Abdelrahman
m,2023 Baku World Cup,qual,EGY,PB,13.466,Ahmed Abdelrahman
m,2023 Baku World Cup,qual,EGY,PH,12.066,Ahmed Abdelrahman
m,2023 Baku World Cup,qual,EGY,VT,13.366,Ahmed Abdelrahman
m,2023 Cairo World Cup,qual,EGY,FX,11.133,Ahmed Abdelrahman
m,2023 Cairo World Cup,qual,EGY,VT,13.433,Ahmed Abdelrahman
m,2023 Cairo World Cup,qual,EGY,VT,13.1,Ahmed Abdelrahman
w,2022 51st FIG Artistic Gymnastics World Championships,qual,EGY,BB,11.0,Jana Abdelsalam
w,2022 51st FIG Artistic Gymnastics World Championships,qual,EGY,FX,11.766,Jana Abdelsalam
w,2022 51st FIG Artistic Gymnastics World Championships,qual,EGY,UB,12.8,Jana Abdelsalam
w,2022 51st FIG Artistic Gymnastics World Championships,qual,EGY,VT,12.333,Jana Abdelsalam
